"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"02/25/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1295,993,1688,1513,1238,1849,1494,1288,1733,1172,957,1434,1161,870,1549,912,771,1079
"02/26/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1345,1029,1757,1538,1240,1909,1366,1147,1627,1256,985,1602,1146,937,1403,1093,785,1521
"02/27/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1481,1034,2123,1839,1341,2522,1686,1089,2610,,,,1208,1002,1456,1043,823,1320
"02/28/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1379,1041,1827,1423,1154,1754,1693,1379,2080,1442,1141,1821,1345,998,1813,1077,831,1396
"02/29/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1176,788,1756,1110,853,1445,1294,1091,1535,1238,1043,1468,1171,922,1487,1007,451,2246
"03/01/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1152,880,1509,1131,832,1538,1248,969,1607,,,,1001,801,1251,1124,781,1619
"03/02/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1377,945,2006,1939,1452,2590,1280,1006,1630,1224,925,1619,949,808,1116,1225,841,1786
"03/03/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1311,989,1737,1691,1324,2158,1228,1098,1373,1236,1034,1478,1120,925,1356,849,725,995
"03/04/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1329,1013,1743,1484,1181,1865,1443,1107,1879,1280,1052,1558,1248,942,1655,970,777,1210
"03/05/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1308,995,1718,1329,1080,1634,1557,1299,1866,,,,1164,915,1482,958,752,1220
"03/06/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1321,1007,1734,1422,1098,1841,1664,1358,2040,1309,1113,1540,1091,912,1303,1017,803,1289
"03/07/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1181,945,1478,,,,1289,1043,1594,1247,1035,1503,1190,994,1424,982,762,1265
"03/08/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1076,864,1339,881,755,1028,1274,1029,1578,,,,,,,1020,756,1378
"03/09/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1231,938,1616,1496,1184,1890,1201,975,1480,1124,964,1310,957,851,1077,939,748,1179
"03/10/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1252,972,1613,1577,1286,1934,1216,1041,1421,1095,961,1247,1021,882,1181,1102,827,1469
"03/11/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1271,1017,1587,1356,1123,1637,1445,1131,1847,1235,1035,1474,1018,863,1201,1120,877,1430
"03/12/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1204,964,1504,1172,1015,1354,1404,1097,1797,,,,,,,1101,887,1367
"03/13/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1142,918,1420,1219,1025,1449,1186,1002,1404,1191,947,1498,1035,846,1266,1030,820,1294
"03/14/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1089,848,1399,1006,740,1368,1017,871,1187,1219,956,1555,1083,863,1358,1007,772,1314
"03/15/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1084,844,1391,,,,969,813,1156,,,,,,,1219,902,1647
"03/16/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1032,869,1225,,,,997,871,1141,1056,901,1238,,,,1033,832,1284
"03/17/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1124,829,1524,,,,,,,,,,,,,,,
"03/18/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1223,853,1754,,,,,,,,,,,,,,,
"03/19/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1016,818,1263,,,,,,,,,,,,,,,
"03/20/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1099,880,1371,,,,,,,,,,,,,,,
"03/21/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1058,750,1493,,,,,,,,,,,,,988,772,1266
"03/22/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",942,736,1205,,,,,,,,,,,,,,,
"03/23/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1036,783,1371,,,,,,,,,,,,,,,
"03/24/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1286,1014,1631,,,,,,,,,,,,,,,
"03/25/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",,,,,,,,,,,,,,,,,,
"03/26/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",,,,,,,,,,,,,,,,,,
"03/27/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",,,,,,,,,,,,,,,,,,
"03/28/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1076,814,1421,,,,,,,,,,,,,,,
"03/29/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1426,953,2134,,,,,,,,,,,,,,,
"03/30/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",,,,,,,,,,,,,,,,,,
"03/31/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",,,,,,,,,,,,,,,,,,
"01/01/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1140,878,1480,,,,1164,988,1372,1008,888,1145,,,,1236,940,1626
"01/02/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1240,957,1607,1158,1010,1329,1343,1031,1750,,,,,,,1389,899,2146
"01/03/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1188,923,1530,1186,869,1618,1377,1038,1828,1192,969,1468,1101,939,1290,1084,818,1436
"01/04/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1148,940,1401,1031,810,1312,1214,984,1498,1140,990,1313,1163,958,1412,1115,887,1401
"01/05/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1086,854,1380,,,,1163,952,1421,,,,,,,1020,775,1343
"01/06/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1183,944,1484,1311,1100,1563,1309,1108,1547,1147,950,1385,1061,887,1269,985,765,1268
"01/07/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1320,1029,1694,1342,1123,1604,1335,985,1808,1392,1110,1747,1093,929,1287,1292,926,1803
"01/08/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1259,970,1634,1397,1151,1695,1485,1107,1993,1088,912,1296,1145,927,1414,923,773,1103
"01/09/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1377,1022,1856,1477,1167,1869,1567,1232,1993,,,,1404,953,2067,1057,790,1413
"01/10/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1327,1023,1721,1453,1178,1793,1398,1167,1674,1362,1020,1820,1143,897,1457,1208,912,1600
"01/11/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1218,948,1564,941,778,1139,1324,1088,1611,1260,996,1594,1209,961,1519,1205,884,1644
"01/12/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1204,894,1623,,,,1125,917,1379,,,,1304,954,1782,1314,848,2034
"01/13/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1249,948,1645,1415,1103,1815,1420,1155,1746,1172,959,1433,,,,1155,831,1605
"01/14/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1319,1012,1718,1459,1179,1805,1529,1229,1902,1246,968,1604,1119,945,1326,1067,819,1391
"01/15/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1375,1033,1829,1621,1269,2070,1575,1313,1890,1347,1048,1732,1090,957,1241,959,748,1229
"01/16/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1408,1062,1866,1602,1278,2009,1700,1329,2175,,,,1318,1087,1598,1130,837,1525
"01/17/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1333,1020,1743,1420,1199,1681,1711,1408,2080,1319,1062,1637,1111,886,1392,1024,779,1346
"01/18/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1280,974,1682,963,815,1138,1360,1046,1768,1271,991,1631,1436,1245,1655,1107,785,1562
"01/19/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1157,937,1429,1093,881,1355,1198,958,1498,,,,1045,837,1304,1232,1000,1517
"01/20/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1171,896,1532,910,824,1006,1228,1030,1465,1324,1033,1695,1223,935,1600,995,768,1290
"01/21/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1409,1016,1954,1728,1353,2208,1589,1156,2185,1315,1064,1624,978,827,1157,1032,785,1357
"01/22/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1375,953,1984,1653,1317,2076,1570,1197,2059,1150,767,1723,1097,874,1378,1068,748,1524
